Job #,JOB NAME and MAP,State,Project type,Contractor,Pending Start Date,Finish Date,Gross Profit,GP %, CONTRACT AMOUNT , Actual To Date ,LEFT TO BILL, Mill / Misc. Days ,mill/misc dollar value ,, Curb Installation Days , Curb LF , Cubic Yards Curb ,curb dollar value,, Stone Base Days , Stone Base tons ,Stone Base Dollar Value,, Asphalt Paving Days , Asphalt Paving Tons ,Asphalt Paving dollar value,, Surface , Surface Dollar value ,, Field Events , Field Events Days , Cubic Yards FE Concrete ,FE Dollar Value,,,,,
,,,,,Gross Margin,,"$2,049,062.92",,"$7,991,816.00",,"$7,991,816.00", Mill / Misc. Days ,mill/misc dollar value ,, Curb Installation Days , Curb LF ,  Cubic Yards  ,curb dollar value,, Stone Base Days , Stone Base tons ,Stone Base Dollar Value,, Asphalt Paving Days , Asphalt Paving Tons ,Asphalt Paving dollar value,, Surface , Surface Dollar value ,, Field Events , Field Events Days , Cubic Yards FE Concrete ,FE Dollar Value,,,"$317,398.00",,"$472,400.00"
,,,,,,,,,,,,30.00,"$216,736.58",,53.00,"13,501.00",309.47,"$474,140.00",,193.00,"22,423.00","$1,267,705.49",,67.00,"15,869.00","$4,271,937.58",,Y/N,"$575,508.00",,,24.00,0.00,"$233,030.00",,,,,
Completed Projects 2026 Fiscal Year,,,,,,,,,,,,site work capacity sold 2026,57.10%,,paving capacity sold 2026,48.15%,,,,,,,,,,,,,,,,,,,,,,,
Job #,JOB NAME and MAP,State,Project type,Contractor,END Date,Finish Date,Gross Profit,GP %, CONTRACT AMOUNT , Actual To Date ,LEFT TO BILL, Mill / Misc. Days ,,, Curb Installation Days , Curb LF ,  Cubic Yards  ,,, Stone Base Days , Stone Base tons ,,, Asphalt Paving Days , Asphalt Paving Tons ,,, Surface , Surface Dollar value ,, Field Events , Field Events Days , Cubic Yards FE Concrete ,FE Dollar Value,,,,,
25-149,Westminster School,AL,PAVE ONLY,Specialty Turf Supply,OCT 25,,"$69,833.00",25.00%,"$279,332.00"," $ 279,332 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-202,Buford Middle school,GA,TRACK UPGRADE,CHARLES BLACK,NOV 25,,"$188,113.50",25.00%,"$752,454.00"," $ 752,454 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-239,Mt Vernon School,GA,TRACK UPGRADES,Polysport,2026,,$0.00,25.00%,"$185,564.00"," $ 185,564 ",,,,,,,,,,,,,,,,,,,,,,,,,,b4 p4,"$9,688",,"$12,000.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gross Margin,,"$257,946.50",,"$11,219,659.00",,$0.00, Mill / Misc. Days ,,, Curb Installation Days , Curb LF ,  Cubic Yards  ,,, Stone Base Days , Stone Base tons ,,, Asphalt Paving Days , Asphalt Paving Tons ,,, Surface , Surface Dollar value ,, Field Events , Field Events Days ,,,,,,,
,,,,,,,,,,,"$368,006.00",0.00,,,0.00,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,,,0.00,,,0.00,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects Moved PAST 2026 Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Job #,JOB NAME and MAP,State,Project type,Contractor,Pending Start Date,Finish Date,Gross Profit,GP %, CONTRACT AMOUNT , Actual To Date ,LEFT TO BILL, Mill / Misc. Days ,,, Curb Installation Days , Curb LF ,  Cubic Yards  ,,, Stone Base Days , Stone Base tons ,,, Asphalt Paving Days , Asphalt Paving Tons ,,, Surface , Surface Dollar value ,, Field Events , Field Events Days ,,,,,,,
25-89 / 90,Sequoyah High School Track & Tennis,GA,,Gilbane Construction,2029,Verbal   ,"$243,356.00",25.00%,"$973,424.00",,"$973,424.00",,,,11,3110,,,,12,1388,,,3,1215,,,Yes,"$355,630.00",,Yes,10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gross Margin,,"$243,356.00",25.00%,"$13,410,433.00",,"$973,424.00", Mill / Misc. Days ,,, Curb Installation Days , Curb LF ,  Cubic Yards  ,,, Stone Base Days , Stone Base tons ,,, Asphalt Paving Days , Asphalt Paving Tons ,,, Surface , Surface Dollar value ,, Field Events , Field Events Days ,,,,,,,
,,,,,,,,,,,,0,,,0,0,0,,,0,0,,,0,0,,,,"355,630",,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site work days sold 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site work days sold 2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,paving days sold 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,paving days sold 2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site work capacity sold 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,paving capacity sold 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
